mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.008338642,0.001684216,0.100379467,0.014213899,chebyshev,4,uniform,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.885368629,0.865303856,0.877437916,0.88737129,0.900430729,0.883177806,0.011593257,49,0.91935708,0.919711061,0.917051404,0.914981555,0.920551131,0.918330446,0.002036788
0.008087254,0.001338822,0.078554392,0.005212075,chebyshev,4,distance,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",0.885454216,0.879820311,0.890854028,0.904815263,0.911168542,0.894414486,0.011785725,24,1,1,1,1,1,1,0
0.008529711,0.001213491,0.105421782,0.005581786,chebyshev,7,uniform,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.868628794,0.860135272,0.869977791,0.882384413,0.90048647,0.876312654,0.01400931,60,0.904935582,0.903114714,0.904148534,0.900035344,0.89408667,0.901264169,0.003956005
0.008245182,0.001466941,0.084609127,0.003131065,chebyshev,7,distance,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.879750086,0.881788815,0.881102362,0.907288512,0.910367893,0.892050025,0.013739737,34,1,1,1,1,1,1,0
0.009139061,0.001633671,0.114772749,0.007349258,chebyshev,10,uniform,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.869519907,0.855188774,0.865717747,0.878719968,0.878904429,0.86960725,0.008858592,65,0.892459265,0.89091873,0.89480881,0.892741169,0.886515937,0.891488782,0.002778022
0.008095551,0.001446738,0.091218376,0.001739109,chebyshev,10,distance,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",0.882997362,0.879224712,0.888885524,0.904633555,0.895677511,0.890279795,0.009081801,36,1,1,1,1,1,1,0
0.009124184,0.001595542,0.118683147,0.007089822,chebyshev,13,uniform,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.862723282,0.836099334,0.86306279,0.87519685,0.872068511,0.861827251,0.013767521,77,0.881996021,0.881017915,0.884883695,0.883308666,0.878079807,0.881857221,0.002291672
0.00839777,0.001360139,0.09770937,0.006516517,chebyshev,13,distance,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",0.875813078,0.879911165,0.887785181,0.902069453,0.898241613,0.888757133,0.01013941,37,1,1,1,1,1,1,0
0.008661652,0.00189934,0.11748333,0.009546784,chebyshev,16,uniform,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.862924663,0.841409247,0.849555825,0.875974157,0.865658255,0.85910358,0.012217903,82,0.876220475,0.876138196,0.882886744,0.873058826,0.877946135,0.877250075,0.003228605
0.008865166,0.001451946,0.104961061,0.004419143,chebyshev,16,distance,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 16, 'KNN__weights': 'distance'}",0.874534305,0.879224712,0.888380779,0.900696548,0.896265329,0.887813586,0.009879224,38,1,1,1,1,1,1,0
0.008852243,0.002261637,0.116976976,0.006617735,chebyshev,19,uniform,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",0.849145136,0.839349889,0.851847365,0.866131637,0.864857606,0.854261447,0.010073781,83,0.867235064,0.870966887,0.872000707,0.860694957,0.867081217,0.867595766,0.003969483
0.008424377,0.001734564,0.098387051,0.003230426,chebyshev,19,distance,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 19, 'KNN__weights': 'distance'}",0.864792476,0.887694327,0.88503937,0.898818898,0.896265329,0.886512306,0.012020617,40,1,1,1,1,1,1,0
0.008454037,0.001522067,0.120366907,0.00682023,chebyshev,22,uniform,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 22, 'KNN__weights': 'uniform'}",0.849245826,0.834998991,0.848687664,0.859539673,0.865070437,0.851503604,0.010332365,86,0.867501895,0.8675893,0.864757339,0.85882171,0.863822971,0.864498643,0.003203832
0.009158659,0.002130723,0.108948517,0.006915832,chebyshev,22,distance,"{'KNN__metric': 'chebyshev', 'KNN__n_neighbors': 22, 'KNN__weights': 'distance'}",0.860165737,0.879820311,0.888289925,0.899919241,0.896265329,0.884880898,0.014174445,46,1,1,1,1,1,1,0
